"Score","Group"
74.2886304539506,"Conventional Resources"
71.0425221736226,"Conventional Resources"
59.6272694492164,"Conventional Resources"
81.9193604938992,"Conventional Resources"
63.7755195035262,"Conventional Resources"
79.1796325761413,"Conventional Resources"
87.3637249845224,"Conventional Resources"
63.8927478731974,"Conventional Resources"
78.912490347623,"Conventional Resources"
72.1646175741827,"Conventional Resources"
62.9949908859816,"Conventional Resources"
63.3973264235277,"Conventional Resources"
62.7892467849778,"Conventional Resources"
70.2836543448079,"Conventional Resources"
63.7677109050287,"Conventional Resources"
78.8154174108308,"Conventional Resources"
88.7007625836797,"Conventional Resources"
64.9907866677538,"Conventional Resources"
79.5141719323262,"Conventional Resources"
79.3832956870064,"Conventional Resources"
76.3254180526508,"Conventional Resources"
66.9413637420609,"Conventional Resources"
73.1638317535854,"Conventional Resources"
72.0372326538083,"Conventional Resources"
77.9409267325434,"Conventional Resources"
71.3929287072732,"Conventional Resources"
80.8388137067993,"Conventional Resources"
71.3779339956309,"Conventional Resources"
81.3689802590553,"Conventional Resources"
66.6557609533375,"Conventional Resources"
65.1789132866932,"Conventional Resources"
96.6872795445968,"Conventional Resources"
71.081996882877,"Conventional Resources"
76.087593140785,"Conventional Resources"
78.4559877182369,"Conventional Resources"
70.6135356200388,"Conventional Resources"
77.6180343101953,"Conventional Resources"
76.5827516916956,"Conventional Resources"
72.4923364465081,"Conventional Resources"
74.4570512346772,"Conventional Resources"
73.7615292238307,"Conventional Resources"
88.8991632931133,"Conventional Resources"
68.8106473260902,"Conventional Resources"
66.3280261304774,"Conventional Resources"
74.2645187941976,"Conventional Resources"
76.173365246102,"Conventional Resources"
77.0556643523713,"Conventional Resources"
70.7914426710223,"Conventional Resources"
66.5567170622017,"Conventional Resources"
82.8422962326264,"Conventional Resources"
71.5524472843251,"Conventional Resources"
67.9414099614264,"Conventional Resources"
72.3460430174123,"Conventional Resources"
72.6197687395601,"Conventional Resources"
81.7694420279955,"Conventional Resources"
74.5931610453804,"Conventional Resources"
79.2783764962917,"Conventional Resources"
70.5049558797942,"Conventional Resources"
75.5011171670712,"Conventional Resources"
71.7271986195642,"Conventional Resources"
74.662084697215,"Conventional Resources"
67.7324564941572,"Conventional Resources"
64.8243892667042,"Conventional Resources"
87.9804936932358,"Conventional Resources"
78.2049617657069,"Conventional Resources"
65.2411004686254,"Conventional Resources"
69.7218385832371,"Conventional Resources"
65.7016394078188,"Conventional Resources"
