"Score","Group","Subgroup"
70.7447954245056,"Conventional Resources","Attending"
70.8719483011959,"Conventional Resources","Attending"
81.1534282181802,"Conventional Resources","Attending"
73.291361957694,"Conventional Resources","Attending"
67.6756937264728,"Conventional Resources","Attending"
76.0878208784949,"Conventional Resources","Attending"
74.1666518253657,"Conventional Resources","Attending"
75.0345851153993,"Conventional Resources","Attending"
77.311682406758,"Conventional Resources","Attending"
72.7760398092455,"Conventional Resources","Attending"
78.866259291113,"Conventional Resources","Attending"
73.6770806290875,"Conventional Resources","Attending"
76.9906917834942,"Conventional Resources","Attending"
81.5810340788961,"Conventional Resources","Attending"
77.6110889450028,"Conventional Resources","Attending"
73.0444104868126,"Conventional Resources","Attending"
81.8928457107066,"Conventional Resources","Attending"
80.9610231357727,"Conventional Resources","Attending"
78.2903817570484,"Conventional Resources","Attending"
76.4323904106686,"Conventional Resources","Attending"
71.2325635437638,"Conventional Resources","Attending"
83.16391469118,"Conventional Resources","Attending"
71.3984424771172,"Conventional Resources","Attending"
88.1239979580995,"Conventional Resources","Attending"
84.1956637571111,"Conventional Resources","Attending"
73.5857978453971,"Conventional Resources","Attending"
68.8414745981593,"Conventional Resources","Attending"
71.7375606178042,"With LLM","Resident"
77.5413022549392,"With LLM","Resident"
74.5198487292258,"With LLM","Resident"
73.9147444036136,"With LLM","Resident"
70.2902885964099,"With LLM","Resident"
75.7298336511465,"With LLM","Resident"
71.2905731832575,"With LLM","Resident"
65.9923483804712,"With LLM","Resident"
73.7186408782734,"With LLM","Resident"
81.5139796543646,"With LLM","Resident"
72.5479182243496,"With LLM","Resident"
79.6477859333502,"With LLM","Resident"
66.292703750265,"With LLM","Resident"
75.6666282068528,"With LLM","Resident"
79.1164432236608,"With LLM","Resident"
77.8069201730003,"With LLM","Resident"
76.6340571648937,"With LLM","Resident"
72.1557639501677,"With LLM","Resident"
70.9017739237985,"With LLM","Resident"
69.8552272563705,"With LLM","Resident"
76.7058795826008,"With LLM","Resident"
70.3151523148912,"With LLM","Resident"
73.056655337796,"With LLM","Resident"
74.4634468468105,"With LLM","Resident"
87.0631720313933,"With LLM","Resident"
72.0883005898272,"With LLM","Resident"
77.4123194337091,"With LLM","Resident"
76.4677650973823,"With LLM","Resident"
70.2288601952192,"With LLM","Resident"
75.5721514832584,"With LLM","Resident"
84.6673051505401,"With LLM","Resident"
78.7090243184753,"With LLM","Resident"
76.2473975319576,"With LLM","Resident"
73.4650190059622,"With LLM","Resident"
63.6805166707569,"With LLM","Resident"
82.788023280485,"With LLM","Resident"
67.2361595744511,"With LLM","Resident"
80.439685065264,"With LLM","Resident"
87.4546214153049,"With LLM","Resident"
67.3366410341692,"With LLM","Resident"
80.2107060122483,"With LLM","Resident"
74.4268150635852,"With LLM","Resident"
66.5671350451271,"With LLM","Resident"
66.9119940773095,"With LLM","Resident"
66.3907829585524,"With LLM","Resident"
72.8145608669782,"With LLM","Resident"
67.2294664900246,"With LLM","Resident"
80.127500637855,"With LLM","Resident"
88.600653643154,"With LLM","Resident"
68.2778171437889,"With LLM","Resident"
79.5141719323262,"Conventional Resources","Resident"
79.3832956870064,"Conventional Resources","Resident"
76.3254180526508,"Conventional Resources","Resident"
66.9413637420609,"Conventional Resources","Resident"
73.1638317535854,"Conventional Resources","Resident"
72.0372326538083,"Conventional Resources","Resident"
77.9409267325434,"Conventional Resources","Resident"
71.3929287072732,"Conventional Resources","Resident"
80.8388137067993,"Conventional Resources","Resident"
71.3779339956309,"Conventional Resources","Resident"
81.3689802590553,"Conventional Resources","Resident"
66.6557609533375,"Conventional Resources","Resident"
65.1789132866932,"Conventional Resources","Resident"
96.6872795445968,"Conventional Resources","Resident"
71.081996882877,"Conventional Resources","Resident"
76.087593140785,"Conventional Resources","Resident"
78.4559877182369,"Conventional Resources","Resident"
70.6135356200388,"Conventional Resources","Resident"
77.6180343101953,"Conventional Resources","Resident"
76.5827516916956,"Conventional Resources","Resident"
72.4923364465081,"Conventional Resources","Resident"
74.4570512346772,"Conventional Resources","Resident"
73.7615292238307,"Conventional Resources","Resident"
88.8991632931133,"Conventional Resources","Resident"
68.8106473260902,"Conventional Resources","Resident"
66.3280261304774,"Conventional Resources","Resident"
74.2645187941976,"Conventional Resources","Resident"
76.173365246102,"Conventional Resources","Resident"
77.0556643523713,"Conventional Resources","Resident"
70.7914426710223,"Conventional Resources","Resident"
66.5567170622017,"Conventional Resources","Resident"
82.8422962326264,"Conventional Resources","Resident"
71.5524472843251,"Conventional Resources","Resident"
67.9414099614264,"Conventional Resources","Resident"
72.3460430174123,"Conventional Resources","Resident"
72.6197687395601,"Conventional Resources","Resident"
81.7694420279955,"Conventional Resources","Resident"
74.5931610453804,"Conventional Resources","Resident"
79.2783764962917,"Conventional Resources","Resident"
70.5049558797942,"Conventional Resources","Resident"
75.5011171670712,"Conventional Resources","Resident"
71.7271986195642,"Conventional Resources","Resident"
74.662084697215,"Conventional Resources","Resident"
67.7324564941572,"Conventional Resources","Resident"
64.8243892667042,"Conventional Resources","Resident"
87.9804936932358,"Conventional Resources","Resident"
78.2049617657069,"Conventional Resources","Resident"
65.2411004686254,"Conventional Resources","Resident"
69.7218385832371,"Conventional Resources","Resident"
65.7016394078188,"Conventional Resources","Resident"
